"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx"
170202,"2024-T3","low","low",575,425,"no","L27","no",2,2.01320579617657
170203,"2224","high","med",525,475,"no","L27","no",3,1.74600995965355
170204,"7055","high","low",425,400,"no","MasterAlloys","no",4,2.05055832915185
170205,"7055","low","med",600,475,"uncertain","L27","no",4,1.90826938635792
170206,"6061","high","high",400,375,"no","Argon-Industries","no",2,1.84683234348173
170207,"2224","high","med",475,375,"no","L27","no",2,1.89838031733809
170208,"2324","med","low",525,475,"no","L27","no",1,1.880335345621
170209,"7055","med","low",525,350,"no","Argon-Industries","no",5,1.79265051228288
170210,"5052","med","low",450,450,"no","MasterAlloys","no",2,1.6367647926102
170211,"2324","high","low",525,375,"no","Argon-Industries","no",2,1.934159486684
170212,"2024-X","high","high",425,475,"no","Argon-Industries","no",5,1.75292105563817
170213,"2024-X","high","med",525,325,"yes","Argon-Industries","no",1,1.58133145997528
170214,"2324","high","low",450,425,"no","Argon-Industries","no",2,1.8248994286322
170215,"7055","med","low",400,400,"yes","Argon-Industries","no",5,1.87767538392807
170216,"2024-X","high","low",500,350,"yes","L27","no",3,2.13104692105302
170217,"2324","low","med",550,475,"no","Argon-Industries","no",3,2.16018778077655
170218,"2024-T3","high","low",475,325,"no","Argon-Industries","yes",3,1.73555156099671
170219,"7075-T6","low","low",550,300,"no","MasterAlloys","no",2,2.03463009249567
170220,"6063","high","low",475,500,"no","L27","no",3,2.00106272319297
170221,"7055","med","high",500,450,"yes","L27","no",2,1.90596576655156
170222,"7475","med","med",550,475,"no","Argon-Industries","no",2,2.01454049102915
170223,"2024-X","high","med",475,375,"yes","L27","no",2,1.76908190696434
170224,"7075-T6","high","low",575,375,"no","Argon-Industries","yes",5,1.8581694909377
170225,"2024-X","high","med",600,350,"no","Argon-Industries","no",1,1.90563244075282
170226,"6063","high","high",450,475,"no","Argon-Industries","no",2,1.99119235714698
170227,"2024-T3","med","low",600,375,"no","Argon-Industries","no",2,1.97230498797977
170228,"5052","med","med",450,375,"no","Argon-Industries","no",4,2.04039342822006
170229,"2224","high","high",550,400,"no","L27","no",2,1.93814555804041
170230,"2024-X","high","high",450,500,"no","Argon-Industries","no",2,1.77510579860378
170231,"2324","med","med",575,475,"no","Argon-Industries","no",5,2.12827646750635
170232,"5052","high","high",425,300,"no","MasterAlloys","no",5,2.16280019313566
170233,"2224","high","high",400,375,"no","Argon-Industries","no",2,1.91987900313413
170234,"6063","high","med",450,425,"no","Argon-Industries","no",2,1.96946532330524
170235,"7475","low","high",425,500,"no","L27","no",2,1.970026854154
170236,"7068","low","low",575,500,"yes","Argon-Industries","no",2,1.99082489214721
170237,"5052","high","med",525,500,"no","MasterAlloys","no",1,2.08659788797861
170238,"7075-T6","high","low",500,475,"no","MasterAlloys","no",4,1.81520824795962
170239,"2324","high","low",475,425,"yes","L27","no",2,2.01406884685603
170240,"2024-X","high","med",400,400,"no","L27","no",5,1.94650596546783
170241,"7055","low","med",575,325,"no","L27","no",5,2.09640724789958
170242,"2024-X","low","med",575,425,"no","L27","no",2,2.24967050906994
170243,"7475","high","low",475,375,"no","Argon-Industries","no",2,1.982995680484
170244,"2024-X","med","med",475,425,"no","L27","no",2,2.01359201652741
170245,"6061","med","high",600,500,"no","L27","no",2,1.91662782571318
170246,"2324","high","med",500,325,"no","Argon-Industries","no",5,1.83856615405364
170247,"2024-X","high","med",475,400,"no","Argon-Industries","no",2,1.97484331157078
170248,"2024-T3","high","med",550,350,"yes","Argon-Industries","no",5,2.14560416990683
170249,"7055","high","high",575,350,"yes","Argon-Industries","no",5,1.8111167662848
170250,"2324","low","high",575,375,"yes","Argon-Industries","no",2,2.02567673779885
170251,"2024-T3","high","med",500,350,"no","MasterAlloys","no",5,2.01323769078848
170252,"2024-T3","high","med",500,300,"no","L27","no",3,1.90991079676388
170253,"7475","low","low",600,425,"no","L27","no",2,1.97506131822815
170254,"2024-T3","high","high",450,350,"no","MasterAlloys","no",2,1.9436544392945
170255,"7075-T6","high","low",575,475,"no","MasterAlloys","no",3,1.81805318135096
170256,"6063","med","low",500,375,"no","L27","yes",2,1.96473040859056
170257,"2224","med","high",525,375,"no","Argon-Industries","no",2,1.95789864455205
170258,"7068","low","low",525,325,"no","Argon-Industries","no",2,2.23370738782954
170259,"6063","high","high",475,300,"no","Argon-Industries","no",2,2.10141347812813
170260,"2324","low","low",400,350,"no","Argon-Industries","no",4,2.07044411833846
170261,"7055","low","med",600,400,"no","L27","yes",2,1.77734454227417
170262,"7055","high","low",500,375,"no","Argon-Industries","no",5,2.20486177841535
170263,"7075-T6","med","low",550,350,"no","Argon-Industries","no",3,1.87178471468562
170264,"2024-T3","low","med",500,425,"no","Argon-Industries","no",2,2.01470487977013
170265,"7475","high","low",475,350,"no","L27","no",5,1.85145028482194
170266,"7075-T6","med","low",400,475,"no","Argon-Industries","no",2,1.97724738142647
170267,"2224","high","low",525,350,"uncertain","MasterAlloys","yes",5,1.8956586593886
170268,"2024-T3","high","low",600,350,"no","Argon-Industries","no",5,2.11604241310354
170269,"7475","high","low",425,500,"no","Argon-Industries","no",5,1.83903303336046
170270,"7068","med","med",400,475,"no","L27","no",5,1.83840082372056
170271,"6063","high","high",400,425,"no","Argon-Industries","no",2,1.90403139208318
170272,"6061","med","med",425,400,"no","L27","no",1,1.93941482350936
170273,"7475","low","low",575,350,"no","L27","no",2,2.06360292127591
170274,"2024-T3","low","med",550,400,"no","L27","no",4,1.81285107133045
170275,"7068","high","low",450,500,"uncertain","L27","no",4,1.85777744871492
170276,"7055","med","med",525,475,"yes","L27","no",2,1.97922701272371
170277,"2224","high","low",600,300,"no","MasterAlloys","no",5,1.66523756739304
170278,"7475","low","med",450,300,"yes","L27","no",5,1.65876303418983
170279,"2024-T3","med","low",425,450,"yes","Argon-Industries","no",2,1.90746201020264
170280,"7068","low","low",525,425,"no","Argon-Industries","no",5,1.87327589211367
170281,"7055","low","low",600,425,"no","MasterAlloys","no",3,2.22127670433815
170282,"2224","low","high",400,475,"no","Argon-Industries","no",1,1.82676866684145
170283,"5052","low","high",600,450,"no","Argon-Industries","yes",2,1.87972063213381
170284,"2024-X","high","low",550,450,"no","MasterAlloys","no",2,1.94408107477842
170285,"2024-X","high","med",425,500,"no","L27","no",2,1.98393456395944
170286,"6063","high","low",600,350,"no","Argon-Industries","no",2,1.68614698461433
170287,"7068","high","low",400,300,"no","L27","no",3,1.83710949398954
170288,"7055","high","med",600,375,"no","Argon-Industries","no",2,1.87482166439069
170289,"6063","low","med",575,350,"no","L27","no",2,2.14580005973833
170290,"7055","med","low",550,475,"no","Argon-Industries","no",5,2.17801858471055
170291,"7075-T6","low","low",450,350,"no","L27","no",5,1.7651823591744
170292,"2024-T3","high","med",500,375,"no","L27","no",5,2.00160893027458
170293,"2024-X","low","low",450,500,"no","Argon-Industries","no",2,1.53371651758779
170294,"6063","high","med",475,350,"no","Argon-Industries","no",2,1.84168225955524
170295,"6063","med","low",400,500,"no","L27","no",5,1.91749145551754
170296,"7068","high","med",450,400,"uncertain","L27","no",4,2.12668711602124
170297,"2224","med","low",600,325,"no","Argon-Industries","no",1,1.83570075917376
170298,"5052","med","high",525,325,"no","MasterAlloys","no",2,1.98546126840163
170299,"7055","high","low",475,375,"yes","MasterAlloys","no",3,2.04586821590713
170300,"2024-X","med","med",450,450,"no","L27","no",5,1.95582573526338
170301,"7475","high","high",575,400,"no","L27","no",2,1.91754708170566
170302,"7475","low","high",525,500,"no","Argon-Industries","no",2,1.9828644926954
170303,"7075-T6","low","med",600,350,"no","L27","no",5,2.13685573964979
170304,"7068","low","low",600,375,"no","L27","no",3,1.9005012978817
170305,"6063","med","low",525,500,"no","Argon-Industries","no",2,2.00572990570621
170306,"7068","high","low",450,325,"no","Argon-Industries","no",2,1.72467888219095
170307,"6061","low","low",550,475,"no","Argon-Industries","no",2,1.91346242256125
170308,"2024-T3","high","high",575,350,"no","L27","yes",5,1.84931517223109
170309,"7068","high","high",525,475,"no","L27","no",2,1.80912909614885
170310,"5052","high","high",600,350,"yes","L27","no",2,1.89946335288523
170311,"2324","med","low",475,425,"no","Argon-Industries","no",5,2.04108402643796
170312,"7068","med","high",575,475,"no","L27","no",1,1.83169031341416
170313,"6063","high","low",450,350,"no","L27","no",2,2.00576726440129
170314,"2224","high","low",575,475,"no","Argon-Industries","yes",5,1.94573667485915
170315,"6061","high","high",450,500,"yes","MasterAlloys","no",4,2.23104342744948
170316,"2224","low","high",575,300,"no","Argon-Industries","no",2,2.18838447763698
170317,"7475","low","low",600,475,"no","L27","no",2,2.02856348349769
170318,"2224","low","low",525,400,"no","Argon-Industries","no",5,1.89213301050975
170319,"2224","med","med",425,500,"no","Argon-Industries","no",2,1.7563991962613
170320,"7055","high","med",575,450,"no","Argon-Industries","no",5,1.64760915472145
170321,"7068","high","low",550,475,"no","L27","no",2,2.07780928369756
170322,"2324","low","high",450,350,"no","L27","no",2,2.0571220638789
170323,"2024-X","high","low",450,375,"no","Argon-Industries","no",2,1.94606621185069
170324,"7068","high","high",400,400,"no","MasterAlloys","no",5,1.8368451806549
170325,"7055","low","low",525,475,"no","Argon-Industries","yes",2,1.93045790980816
170326,"2224","low","low",575,400,"no","MasterAlloys","no",2,1.75814298710825
170327,"2024-X","high","low",425,400,"no","Argon-Industries","no",2,1.91837696669468
170328,"6061","med","low",400,350,"no","Argon-Industries","no",4,2.05794340033978
170329,"6063","med","high",450,375,"no","Argon-Industries","no",5,1.86590369096277
170330,"2224","high","low",600,500,"uncertain","L27","no",2,1.93664929679202
170331,"2024-T3","low","low",550,325,"no","Argon-Industries","no",5,1.97818168229178
170332,"7475","med","high",500,400,"yes","MasterAlloys","no",2,1.91610965804645
170333,"2024-T3","high","high",500,450,"no","Argon-Industries","no",2,2.07262668075202
170334,"5052","low","med",500,450,"yes","Argon-Industries","no",2,2.09184925310669
170335,"7055","high","low",450,475,"no","L27","no",5,2.0591149668187
170336,"2024-T3","high","low",550,475,"no","Argon-Industries","no",1,2.060664810076
170337,"2024-X","high","med",400,375,"no","L27","no",5,1.73939618598844
170338,"2324","high","high",425,450,"no","Argon-Industries","no",2,2.00781417940912
170339,"7475","med","low",575,350,"no","Argon-Industries","no",2,1.85649534423248
170340,"7055","high","low",450,400,"uncertain","Argon-Industries","no",2,1.90536237705091
170341,"2324","high","low",475,350,"no","Argon-Industries","no",2,1.84777480711518
170342,"7475","high","low",525,325,"no","L27","no",2,1.92314783058557
170343,"7055","high","low",400,325,"no","Argon-Industries","no",5,1.92951884577586
170344,"2324","high","high",450,475,"uncertain","MasterAlloys","no",2,1.93572802920857
170345,"7068","med","high",575,325,"no","Argon-Industries","no",5,2.0346158745846
170346,"2324","low","low",400,450,"no","Argon-Industries","no",5,1.83277162587063
170347,"7475","med","med",525,500,"yes","MasterAlloys","no",2,2.06859453818833
170348,"7068","low","low",425,350,"no","L27","no",2,1.87004025993716
170349,"7075-T6","high","low",600,325,"no","L27","no",5,2.18436408083541
170350,"2224","high","low",400,350,"no","Argon-Industries","no",4,2.01151443654572
170351,"6061","med","med",500,350,"no","Argon-Industries","no",2,2.05881049527428
170352,"7475","high","med",550,425,"no","L27","no",5,1.96677286393794
170353,"5052","low","high",525,375,"yes","MasterAlloys","no",4,1.69065679430489
170354,"7475","high","high",450,450,"yes","L27","no",5,1.87768801897272
170355,"7475","low","low",575,425,"no","L27","no",5,1.71114925800797
170356,"2024-T3","high","low",525,425,"no","Argon-Industries","no",2,1.74790639506658
170357,"2324","med","high",525,450,"uncertain","MasterAlloys","no",5,2.00670066316146
170358,"7475","low","med",450,300,"yes","Argon-Industries","no",2,2.02925052464581
170359,"6061","high","low",600,475,"no","Argon-Industries","no",2,1.79431654105881
170360,"7475","high","high",525,425,"uncertain","L27","no",5,1.71884411532707
170361,"7055","high","low",600,350,"no","Argon-Industries","no",2,1.7367345149803
170362,"7068","high","low",575,500,"uncertain","Argon-Industries","no",5,1.91492762381242
170363,"2024-T3","med","low",500,300,"no","Argon-Industries","no",2,1.60824549466713
170364,"2024-X","low","low",400,450,"no","Argon-Industries","no",2,1.80394369738275
170365,"5052","low","low",525,375,"no","L27","no",5,2.1090623521261
170366,"2224","high","med",525,400,"no","Argon-Industries","no",5,1.73437109656979
170367,"2024-T3","high","low",575,350,"no","Argon-Industries","no",2,1.39561692250805
170368,"7075-T6","high","high",600,425,"yes","MasterAlloys","no",4,1.95396673572468
170369,"2224","high","med",525,500,"uncertain","MasterAlloys","no",5,1.86993169787589
170370,"2024-T3","med","med",575,450,"no","MasterAlloys","no",2,1.92357877944253
170371,"5052","low","high",600,425,"no","Argon-Industries","no",2,1.95827721800149
170372,"5052","med","low",400,350,"uncertain","MasterAlloys","no",2,1.87632583431594
170373,"7475","low","low",525,300,"no","MasterAlloys","no",2,2.10345973748829
170374,"5052","low","low",400,450,"no","Argon-Industries","no",5,1.9861014143886
170375,"2024-T3","med","low",425,400,"no","Argon-Industries","no",2,2.01380485917612
170376,"2024-T3","high","low",500,450,"no","Argon-Industries","no",4,2.12001742837683
170377,"2024-X","high","med",525,350,"no","Argon-Industries","no",5,1.89098506650741
170378,"7055","med","low",400,325,"no","L27","no",5,1.72555916494966
170379,"5052","high","med",575,450,"no","L27","no",5,1.98344768200213
170380,"7075-T6","med","high",500,350,"no","MasterAlloys","no",2,2.21190742379985
170381,"6063","high","high",400,450,"no","L27","no",2,2.00045609941826
170382,"2024-T3","high","med",475,325,"no","MasterAlloys","no",2,2.25513279652469
170383,"7068","low","med",400,450,"no","L27","no",4,2.03090643293282
170384,"7055","high","high",475,500,"uncertain","Argon-Industries","no",4,2.24401163079682
170385,"2024-X","med","med",600,425,"no","L27","no",2,1.88046111134968
170386,"7068","high","low",475,425,"no","MasterAlloys","no",2,2.00269268819899
170387,"5052","high","low",575,350,"no","Argon-Industries","no",2,2.09948481060105
170388,"7075-T6","med","low",400,350,"no","L27","no",4,1.91759247548067
170389,"6063","high","high",400,425,"no","MasterAlloys","no",2,1.87159575274667
170390,"7075-T6","high","high",525,300,"yes","Argon-Industries","no",4,1.83153941903981
170391,"2024-X","low","med",475,350,"no","L27","no",5,1.96110952242535
170392,"2224","high","high",525,375,"no","Argon-Industries","no",5,2.03374540772649
170393,"7075-T6","med","low",550,425,"no","Argon-Industries","yes",5,1.68535662031757
170394,"5052","high","low",575,425,"no","MasterAlloys","no",5,1.94170411663478
170395,"7055","med","high",475,350,"no","Argon-Industries","no",5,1.9029016878182
170396,"7068","high","low",400,325,"no","Argon-Industries","no",4,1.92742989929212
170397,"7055","med","high",450,475,"yes","Argon-Industries","no",5,2.08458825644563
170398,"2224","high","low",450,325,"no","L27","yes",2,1.79096969067122
170399,"7068","high","high",600,450,"no","Argon-Industries","no",2,1.62377999703587
170400,"6063","low","med",525,475,"yes","Argon-Industries","no",2,1.84597245536379
170401,"6061","low","low",575,400,"no","L27","no",4,1.66556411489503
170402,"2324","med","low",450,350,"no","Argon-Industries","no",2,1.85316129471001
170403,"7055","high","high",600,450,"no","Argon-Industries","no",2,1.91181775096025
170404,"2324","high","high",425,400,"no","Argon-Industries","no",2,1.97724236319318
170405,"7068","low","med",400,350,"no","Argon-Industries","no",2,2.0846874520836
170406,"2024-T3","high","low",425,350,"no","L27","no",2,1.90005863699622
170407,"7055","med","high",525,300,"no","L27","no",5,1.68439573081523
170408,"6061","high","high",400,425,"no","L27","no",5,2.07018455381767
170409,"5052","high","low",525,350,"no","Argon-Industries","no",5,1.98102584979521
170410,"6061","high","low",600,425,"yes","MasterAlloys","no",2,2.08685277154385
170411,"7075-T6","high","low",500,475,"yes","Argon-Industries","no",2,2.16041319350652
170412,"7075-T6","low","high",400,350,"no","MasterAlloys","no",1,1.96939376332023
170413,"7068","low","med",450,325,"no","MasterAlloys","no",2,1.93993445392688
170414,"7475","low","med",600,350,"no","Argon-Industries","no",2,2.02976457264069
170415,"7055","low","low",475,500,"no","Argon-Industries","yes",5,2.03221817114401
170416,"2224","med","low",550,350,"no","MasterAlloys","no",5,2.00280310918372
170417,"6061","high","med",500,375,"no","MasterAlloys","no",2,1.93713554269577
170418,"7075-T6","low","low",575,400,"no","L27","no",2,1.9175030920539
170419,"6061","low","med",400,425,"uncertain","L27","no",5,2.05991101186633
170420,"6061","med","low",500,500,"no","L27","no",5,1.7000533688522
170421,"7055","low","low",450,325,"yes","Argon-Industries","no",2,1.96359332589057
170422,"2224","med","low",450,500,"no","Argon-Industries","no",1,1.99891918977923
170423,"5052","med","low",600,325,"no","Argon-Industries","no",2,1.93084167240379
170424,"7055","high","high",425,300,"no","L27","yes",2,1.9065482513357
170425,"6061","high","low",450,475,"no","Argon-Industries","yes",5,1.95277814337438
170426,"2024-T3","low","low",600,500,"no","L27","no",5,1.97822538026642
170427,"7075-T6","low","low",450,425,"no","L27","no",5,1.68072640118165
170428,"2024-X","high","low",400,325,"yes","Argon-Industries","no",4,2.04935755144547
170429,"2024-X","low","high",600,425,"yes","MasterAlloys","no",2,1.97534341054359
170430,"7068","high","high",500,450,"uncertain","Argon-Industries","no",2,1.94217194723449
170431,"6061","low","high",525,500,"no","Argon-Industries","no",2,1.98094617496273
170432,"6063","high","high",600,300,"no","L27","no",5,2.06625546444685
170433,"7068","high","low",400,425,"no","Argon-Industries","no",2,1.44768379852583
170434,"2024-X","high","low",500,325,"yes","Argon-Industries","no",2,1.84717143758052
170435,"7475","med","low",550,475,"no","L27","no",2,1.8050390319568
170436,"7075-T6","low","low",425,400,"no","L27","no",2,1.85897833816364
170437,"2024-X","low","low",425,475,"no","L27","no",4,1.9386616279319
170438,"2324","med","med",425,500,"no","L27","no",3,1.88548896150147
170439,"6061","high","low",400,500,"no","Argon-Industries","no",5,2.05015063059952
170440,"7075-T6","high","low",425,350,"uncertain","MasterAlloys","no",2,1.94410567784254
170441,"2324","high","low",475,375,"no","Argon-Industries","no",4,2.02876545619355
170442,"6063","high","med",600,475,"no","Argon-Industries","yes",2,1.87439682605048
170443,"2024-T3","high","low",550,400,"no","Argon-Industries","no",4,1.85197781501898
170444,"7055","high","low",575,350,"yes","Argon-Industries","no",4,1.93482162187533
170445,"7055","med","high",500,375,"no","L27","no",4,2.14697688030846
170446,"5052","high","med",500,475,"no","L27","no",5,1.804747309579
170447,"7055","high","med",500,350,"no","Argon-Industries","no",4,2.09662564457677
170448,"2024-X","low","low",600,500,"no","Argon-Industries","no",3,2.07451447638722
170449,"7068","med","low",475,400,"no","Argon-Industries","no",1,1.87016027912398
170450,"7055","high","low",575,350,"no","L27","no",5,2.00277305654236
170451,"7055","low","low",400,425,"no","L27","no",2,1.70134114754197
170452,"6061","low","high",425,350,"no","Argon-Industries","no",5,1.93243085491187
170453,"6061","high","low",500,375,"no","Argon-Industries","no",2,1.97330614413962
170454,"7068","med","med",525,400,"no","L27","no",2,1.80819750426818
170455,"6063","med","low",550,450,"no","Argon-Industries","no",5,1.96348120574416
170456,"6061","high","low",575,350,"no","Argon-Industries","no",3,1.78176615288126
170457,"7068","high","high",425,475,"no","Argon-Industries","no",2,1.80394997689784
170458,"5052","high","high",400,475,"yes","L27","no",4,1.96075288890855
170459,"6063","low","low",525,425,"no","Argon-Industries","no",3,2.03561450191858
170460,"6063","high","low",400,350,"no","Argon-Industries","no",2,2.04261631191654
170461,"6061","med","low",450,350,"no","MasterAlloys","no",2,1.80656189650596
170462,"7475","med","med",500,425,"no","L27","no",2,2.19884054655797
170463,"7055","high","med",525,425,"yes","Argon-Industries","no",3,1.96952691566821
170464,"7068","high","med",600,350,"no","MasterAlloys","no",2,1.8027161300335
170465,"6061","med","med",400,450,"no","Argon-Industries","no",2,1.64557920492396
170466,"7068","high","low",550,400,"no","L27","no",2,1.87548806170182
170467,"5052","high","high",425,400,"yes","Argon-Industries","no",2,1.88384262431134
170468,"5052","low","med",425,450,"no","L27","no",5,1.94096738970058
170469,"7475","med","high",400,500,"yes","Argon-Industries","no",2,1.90592513157692
170470,"7068","med","low",475,375,"no","Argon-Industries","no",3,2.00601551246055
170471,"6063","high","low",450,300,"no","L27","no",5,1.91773368247085
170472,"6063","low","low",400,350,"no","Argon-Industries","no",2,1.95183880950455
170473,"7075-T6","high","low",500,425,"no","Argon-Industries","no",2,1.65468354554819
170474,"7475","high","low",575,375,"no","L27","yes",5,1.71773198065159
170475,"5052","med","low",575,350,"no","L27","no",2,2.06423031351434
170476,"5052","med","med",575,500,"no","Argon-Industries","no",5,2.00353690664651
170477,"7055","high","high",500,450,"no","MasterAlloys","no",5,1.83984790155868
170478,"7075-T6","high","low",525,425,"no","Argon-Industries","no",5,2.05056920764201
170479,"2024-X","high","med",525,475,"no","Argon-Industries","no",5,2.05951645060516
170480,"7475","low","med",525,375,"no","L27","no",5,2.02703292196942
170481,"7475","high","low",450,400,"yes","L27","no",3,1.99240189333917
170482,"7055","high","low",550,475,"no","L27","no",5,1.82990290506462
170483,"2024-T3","low","high",500,450,"no","MasterAlloys","no",5,1.94858239186005
170484,"7068","low","high",475,475,"no","MasterAlloys","no",4,1.86088006036566
170485,"6063","med","low",600,450,"no","L27","no",5,1.89634742328415
170486,"2024-T3","high","low",450,325,"no","L27","yes",5,1.6643998274461
170487,"7075-T6","high","low",500,500,"uncertain","Argon-Industries","no",2,1.87550972913563
170488,"6063","high","med",400,300,"no","Argon-Industries","no",2,2.03245122400852
170489,"5052","med","low",450,350,"no","Argon-Industries","no",5,1.8074392502036
170490,"2024-T3","high","low",550,475,"no","MasterAlloys","no",3,1.99600803988237
170491,"7475","low","low",500,425,"uncertain","Argon-Industries","no",2,2.13983985498078
170492,"6061","high","med",425,500,"no","Argon-Industries","no",2,1.95065640476902
170493,"6063","high","high",525,300,"no","MasterAlloys","no",2,2.12080018424478
170494,"6063","med","med",575,350,"no","L27","no",5,2.10742942532007
170495,"5052","high","high",600,400,"no","Argon-Industries","no",5,2.03181891346265
170496,"6063","high","med",600,425,"no","MasterAlloys","no",2,1.95683071359932
170497,"6063","high","low",600,325,"no","L27","yes",2,1.6359171511784
170498,"7075-T6","high","low",525,325,"no","L27","no",4,1.88880148973221
170499,"2024-X","med","med",425,425,"no","MasterAlloys","no",2,2.00659168634726
170500,"7075-T6","high","med",425,400,"no","Argon-Industries","no",2,2.08753479070844
170501,"2024-T3","high","low",400,325,"no","L27","no",1,2.00353255706085
170502,"7075-T6","low","high",575,500,"no","MasterAlloys","no",2,2.0599799285604
170503,"7055","high","med",575,450,"no","Argon-Industries","no",2,1.99224798192197
170504,"2224","high","med",475,475,"no","Argon-Industries","no",5,1.95878664976425
170505,"2024-T3","high","low",525,500,"no","Argon-Industries","no",2,1.9174353240061
170506,"7075-T6","med","high",400,475,"no","Argon-Industries","no",2,1.78150376078374
170507,"6061","med","low",550,400,"no","Argon-Industries","no",2,2.06401889875993
170508,"2324","high","med",525,475,"uncertain","MasterAlloys","no",2,1.837946262251
170509,"6063","low","low",500,400,"no","L27","no",2,1.94828408319646
170510,"7475","low","low",500,475,"yes","Argon-Industries","no",5,2.02589560339137
170511,"7055","high","low",525,350,"yes","Argon-Industries","no",5,1.80231737356346
170512,"7055","high","low",425,500,"no","Argon-Industries","no",4,1.92871302969471
170513,"2224","low","low",500,375,"no","L27","no",2,1.97677099122863
170514,"2024-T3","low","high",475,475,"yes","MasterAlloys","no",2,1.96218204003386
170515,"7055","med","med",550,475,"no","Argon-Industries","no",5,1.77836853722876
170516,"7068","high","low",425,350,"no","L27","no",2,1.87662309693031
170517,"7075-T6","med","low",600,425,"no","Argon-Industries","no",2,1.99757486192594
170518,"2224","low","high",425,450,"no","L27","no",2,2.30441513449649
170519,"2024-T3","low","med",400,475,"yes","Argon-Industries","no",5,1.95028637505023
170520,"7075-T6","med","low",550,300,"yes","Argon-Industries","no",5,2.16444346078543
170521,"6061","high","low",475,475,"yes","MasterAlloys","no",2,1.80221062601618
170522,"5052","high","low",600,450,"no","L27","no",1,1.99314272850193
170523,"6063","low","high",550,450,"no","Argon-Industries","no",5,1.77319494310237
170524,"5052","high","high",525,350,"yes","Argon-Industries","no",2,1.95619622377505
170525,"6063","med","high",550,500,"uncertain","Argon-Industries","no",2,1.85226215143433
170526,"7055","low","high",425,350,"no","Argon-Industries","no",4,2.03230462405466
170527,"5052","high","med",400,325,"uncertain","MasterAlloys","no",2,2.18969276761754
170528,"7055","low","low",550,450,"uncertain","L27","no",4,1.98528535064919
170529,"6063","high","med",500,500,"no","L27","no",5,1.98938531825781
170530,"7475","low","med",400,475,"no","MasterAlloys","no",2,1.83854802158918
170531,"2024-X","med","med",550,400,"no","L27","no",2,1.72777020812272
170532,"7055","high","med",575,425,"no","MasterAlloys","no",2,1.66776587954657
170533,"2024-T3","high","low",600,325,"no","Argon-Industries","no",5,1.8857275893356
170534,"6061","high","low",550,375,"no","MasterAlloys","no",2,1.79342511884597
170535,"2224","high","low",525,450,"no","L27","no",4,2.07453695499
170536,"2224","high","low",575,500,"yes","L27","no",5,2.04023609870663
170537,"7475","med","high",425,425,"no","Argon-Industries","yes",2,2.07332585681661
170538,"2324","high","low",450,375,"no","L27","no",5,2.10382363583129
170539,"6061","high","high",575,400,"no","MasterAlloys","no",2,1.88371497656574
170540,"2024-T3","high","med",500,475,"no","Argon-Industries","no",4,2.0601799206
170541,"7075-T6","low","med",600,350,"no","Argon-Industries","no",4,1.85252392898397
170542,"7475","low","med",425,300,"yes","MasterAlloys","no",2,2.01820246488413
170543,"2224","low","high",450,425,"no","MasterAlloys","yes",3,2.12899843937583
170544,"5052","high","low",550,375,"yes","Argon-Industries","no",2,2.01184851865104
170545,"7068","low","high",575,500,"no","L27","no",3,1.65956757028771
170546,"2024-X","high","low",575,325,"yes","Argon-Industries","no",4,2.01382707455799
170547,"6061","high","med",525,425,"no","Argon-Industries","no",2,1.96012352321324
170548,"2024-X","high","low",425,350,"yes","Argon-Industries","no",2,1.67854130067331
170549,"5052","med","low",600,500,"no","L27","yes",5,1.94673940608377
170550,"2224","med","med",400,450,"no","L27","no",5,1.74117217413459
170551,"7068","med","med",600,325,"no","MasterAlloys","no",2,1.69635186666852
170552,"5052","high","low",550,325,"uncertain","Argon-Industries","no",2,1.93492737132609
170553,"2024-T3","med","low",575,500,"no","Argon-Industries","no",4,1.78766100043461
170554,"5052","low","med",400,300,"yes","MasterAlloys","no",2,1.95163852504023
170555,"7475","med","high",425,300,"yes","Argon-Industries","no",2,1.94514848407963
170556,"2024-X","low","low",500,375,"no","L27","no",5,1.86049148324708
170557,"7068","high","med",500,475,"no","Argon-Industries","no",2,2.03914821535601
170558,"2324","med","high",450,325,"no","Argon-Industries","no",5,1.77227496735447
170559,"7068","high","low",550,475,"no","Argon-Industries","yes",2,1.69332079915755
170560,"2024-T3","high","low",575,375,"yes","Argon-Industries","no",5,1.99701102580547
170561,"2324","med","high",550,400,"no","MasterAlloys","no",5,2.05022655302228
170562,"7068","med","low",525,500,"no","Argon-Industries","no",2,1.96796904322335
170563,"6061","high","med",475,500,"no","L27","no",2,1.82857431988477
170564,"6061","high","high",525,500,"yes","L27","no",2,1.69285756367538
170565,"2024-T3","med","low",400,425,"no","Argon-Industries","no",2,1.95507441471103
170566,"2224","low","low",600,475,"no","Argon-Industries","no",2,1.5676142114244
170567,"7068","high","low",575,375,"no","L27","no",1,1.97254237917257
170568,"7055","high","high",575,375,"no","L27","no",2,1.89188853470856
170569,"7055","high","med",475,450,"no","Argon-Industries","no",2,1.72596834633371
170570,"7075-T6","low","low",400,400,"no","MasterAlloys","no",2,1.98809676069485
170571,"6063","med","med",400,350,"no","L27","no",2,1.89288264857358
170572,"7475","high","med",400,350,"no","Argon-Industries","no",5,1.97449903014889
