"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx","y_passXtremeDurability"
17096,"5052","high","low",425,475,"no","L27","no",2,1.8346116453186,0
17097,"6061","low","med",475,500,"uncertain","Argon-Industries","no",5,2.09220842207174,0
17098,"6061","high","med",575,375,"no","MasterAlloys","no",5,1.89692742960923,0
17099,"2224","high","low",575,325,"no","Argon-Industries","no",1,1.70810222899027,1
17100,"6061","high","low",550,300,"no","L27","no",3,2.1319926393912,1
17101,"2324","high","low",400,475,"yes","Argon-Industries","no",3,1.70237474168093,0
17102,"2024-X","low","med",475,500,"uncertain","MasterAlloys","no",5,2.09376321708211,0
17103,"6063","high","high",475,425,"no","Argon-Industries","no",5,2.06015666650305,0
17104,"2224","high","high",600,500,"no","Argon-Industries","no",5,2.03684969873377,0
17105,"6061","med","high",400,450,"no","L27","no",2,1.95144238664019,1
17106,"5052","low","low",425,325,"no","MasterAlloys","no",2,1.72040165253988,1
17107,"2024-X","high","med",500,475,"yes","Argon-Industries","no",2,2.08706516451648,1
17108,"5052","med","med",500,375,"no","Argon-Industries","no",1,2.12761087452255,1
17109,"2324","high","low",525,475,"no","L27","no",2,2.02219278374932,1
17110,"7075-T6","med","high",450,400,"yes","Argon-Industries","no",2,1.99758710952036,0
17111,"6061","high","low",475,300,"no","Argon-Industries","no",5,1.79956088316663,0
17112,"7068","high","low",550,325,"no","Argon-Industries","no",5,1.92381412455806,1
17113,"5052","high","med",400,300,"no","Argon-Industries","no",5,2.16926910571243,0
17114,"7055","low","low",575,450,"yes","Argon-Industries","no",5,2.11117367755265,0
17115,"2024-T3","med","low",550,350,"uncertain","L27","no",4,2.1026820565983,1
17116,"7055","high","low",575,300,"no","L27","no",2,1.87722913405581,1
17117,"2224","low","med",600,375,"no","MasterAlloys","no",4,1.74360382781049,0
17118,"6063","low","high",400,375,"no","L27","no",2,1.82956161669696,0
17119,"2024-X","high","low",525,450,"uncertain","Argon-Industries","no",2,1.93609663480021,1
17120,"2224","med","med",600,350,"no","Argon-Industries","no",2,1.61274785972695,0
17121,"5052","med","med",425,500,"uncertain","MasterAlloys","no",5,2.09074393177415,0
17122,"2024-X","low","low",400,400,"no","Argon-Industries","no",2,1.87613923377461,0
17123,"6061","low","low",525,400,"no","Argon-Industries","no",1,2.04108889598057,1
17124,"7475","med","med",525,400,"no","Argon-Industries","no",4,1.82906218698944,0
17125,"2024-T3","med","high",425,425,"yes","Argon-Industries","no",2,1.74885206284441,1
17126,"7475","low","low",400,350,"no","MasterAlloys","yes",2,2.0133732494956,1
17127,"5052","high","low",425,400,"no","Argon-Industries","no",2,1.98199350577829,0
17128,"2024-X","low","low",575,475,"no","Argon-Industries","no",2,2.01420408914591,1
17129,"2324","high","low",400,400,"no","Argon-Industries","no",5,2.02910950042655,0
17130,"6061","high","high",600,350,"no","L27","no",2,1.90615262484901,1
17131,"2024-T3","low","low",550,400,"no","L27","no",2,1.8373178294237,1
17132,"7075-T6","high","high",500,475,"no","Argon-Industries","yes",2,2.01384028525675,0
17133,"7075-T6","med","high",400,350,"yes","MasterAlloys","no",2,2.0913452573236,0
17134,"5052","high","low",525,450,"yes","MasterAlloys","no",2,1.85160573767817,0
17135,"2224","low","high",400,500,"no","MasterAlloys","no",2,2.09252783201868,0
17136,"7075-T6","high","high",575,375,"no","L27","no",2,1.93336321510048,1
17137,"7475","high","med",425,325,"no","L27","no",4,1.89450496961723,0
17138,"7075-T6","high","low",575,400,"yes","L27","no",1,1.81060475373792,1
17139,"7068","low","low",600,300,"no","Argon-Industries","no",2,1.82759824722469,1
17140,"2024-T3","low","high",475,500,"no","L27","no",2,1.65418757503602,1
17141,"7075-T6","low","med",500,475,"yes","Argon-Industries","no",2,2.00155299926461,0
17142,"5052","low","high",450,375,"no","L27","no",2,1.91629087992269,0
17143,"2024-T3","med","high",425,325,"no","Argon-Industries","no",2,1.63392164991267,1
17144,"2324","high","low",400,450,"no","L27","yes",2,1.92385213179527,0
17145,"7068","high","low",450,300,"no","MasterAlloys","no",2,1.77344425913696,0
17146,"5052","high","low",450,375,"no","Argon-Industries","no",5,1.89481688680526,0
17147,"7055","high","high",400,475,"yes","MasterAlloys","no",2,2.04819236097676,1
17148,"2024-X","high","med",475,300,"no","Argon-Industries","yes",2,1.96956162507858,0
17149,"7475","high","low",600,375,"uncertain","MasterAlloys","no",2,1.95593636317759,0
17150,"7068","low","med",400,400,"no","L27","no",2,2.08704452629146,1
17151,"7075-T6","low","low",500,500,"no","Argon-Industries","no",2,2.07514703817673,1
17152,"6061","med","med",450,350,"no","MasterAlloys","yes",5,1.79549136117856,0
17153,"2324","med","high",525,450,"uncertain","L27","no",2,2.05834306139422,1
17154,"6063","med","low",575,375,"no","Argon-Industries","no",2,1.829456744854,1
17155,"6061","high","low",500,450,"no","Argon-Industries","no",1,2.02762978558023,1
17156,"7055","high","low",500,425,"yes","Argon-Industries","no",2,1.72106671933602,1
17157,"7068","high","med",475,375,"no","Argon-Industries","no",2,1.63517055654569,0
17158,"7055","high","low",450,450,"yes","Argon-Industries","no",5,1.93828523598438,0
17159,"2024-T3","low","low",500,375,"no","L27","no",3,2.11122492091362,1
17160,"2024-X","high","med",575,450,"no","MasterAlloys","no",2,1.7989978382867,1
17161,"7055","med","low",575,450,"uncertain","L27","no",5,1.85372951960817,1
17162,"2324","high","low",400,475,"no","Argon-Industries","no",5,2.08237895133737,0
17163,"2024-T3","high","low",600,325,"no","L27","no",2,1.92253245548478,1
17164,"7068","high","med",450,300,"no","L27","no",5,1.82662316284592,0
17165,"7475","high","low",450,375,"uncertain","L27","no",5,1.48593511568742,1
17166,"2324","med","high",500,325,"no","Argon-Industries","no",2,1.69381336370835,0
17167,"2224","high","low",450,375,"no","MasterAlloys","no",2,1.97828851716684,0
17168,"6061","low","high",575,300,"no","Argon-Industries","no",2,1.75463814994763,0
17169,"6061","low","low",600,450,"no","Argon-Industries","no",5,1.89467297931527,0
17170,"6063","high","med",525,350,"uncertain","L27","no",2,2.0506648564719,0
17171,"2024-X","low","high",500,475,"no","L27","no",5,1.75136432288274,0
17172,"7068","high","med",525,350,"no","Argon-Industries","no",2,1.85168343901383,0
17173,"2324","high","low",450,375,"yes","Argon-Industries","no",2,2.17060410819038,0
17174,"7475","high","low",550,400,"no","Argon-Industries","no",4,1.86148583117097,0
17175,"2024-T3","high","low",425,325,"no","L27","no",2,2.0521383702919,1
17176,"2324","high","low",425,350,"no","Argon-Industries","no",1,2.11432973383858,1
17177,"6061","high","med",475,450,"no","MasterAlloys","no",2,2.03251197558936,0
17178,"2024-X","high","low",575,450,"yes","MasterAlloys","no",3,1.97502974664679,0
17179,"6061","low","high",500,350,"no","Argon-Industries","no",2,2.01764375238186,0
17180,"6063","med","low",525,400,"yes","L27","no",3,1.99760561918779,1
17181,"2024-X","high","low",450,400,"no","L27","no",2,1.91877096316648,0
17182,"7075-T6","low","high",400,300,"no","Argon-Industries","no",4,1.95819496968193,0
17183,"6061","low","low",600,350,"yes","MasterAlloys","no",5,1.74312438458923,0
17184,"2024-X","high","med",425,475,"no","Argon-Industries","no",2,1.80066888552547,1
17185,"7475","high","med",500,475,"uncertain","MasterAlloys","no",2,2.11199121998433,1
17186,"2024-X","med","med",575,325,"no","MasterAlloys","no",3,1.9716719205255,1
17187,"7075-T6","low","low",425,325,"no","Argon-Industries","no",2,1.94259291529811,1
17188,"2024-X","high","high",450,450,"yes","MasterAlloys","no",2,2.10800464992216,0
17189,"2024-T3","low","low",525,350,"no","L27","no",1,1.79650288449292,1
17190,"7055","med","low",550,350,"no","L27","no",2,2.12796779737531,1
17191,"2024-T3","high","low",550,375,"yes","Argon-Industries","no",2,2.02973218110608,1
17192,"7055","high","low",450,450,"no","L27","no",2,2.05282603539665,1
17193,"7055","high","med",525,325,"no","L27","no",4,2.12702198767426,1
17194,"2024-T3","high","med",600,400,"no","MasterAlloys","no",2,1.9691442229528,1
17195,"2024-X","med","med",575,375,"no","Argon-Industries","no",5,1.55357290710628,0
17196,"5052","med","med",400,350,"no","Argon-Industries","no",2,1.80690848687024,0
17197,"7055","med","high",450,300,"no","Argon-Industries","no",5,1.89798304753842,0
17198,"2024-T3","high","high",500,500,"uncertain","MasterAlloys","no",2,1.76913693244007,1
17199,"2224","high","low",575,325,"no","L27","no",2,1.94274204096092,1
17200,"7075-T6","high","low",400,350,"no","L27","no",2,1.82264162443592,0
17201,"2024-T3","high","low",475,500,"yes","L27","no",5,1.86559498567029,0
17202,"2224","high","low",450,400,"no","L27","no",5,1.7204073036602,0
17203,"7075-T6","med","med",500,325,"yes","Argon-Industries","no",2,1.85339456862946,1
17204,"6061","low","low",500,500,"no","MasterAlloys","no",5,1.88148082961055,0
17205,"7075-T6","high","low",550,400,"no","Argon-Industries","no",5,2.13079010565501,1
17206,"2324","med","low",400,300,"no","Argon-Industries","no",2,1.898289367987,0
17207,"7055","high","low",475,350,"yes","Argon-Industries","no",2,1.91408119945955,0
17208,"6061","med","high",600,500,"no","Argon-Industries","yes",2,1.78172750362251,0
17209,"2024-T3","med","high",525,400,"no","Argon-Industries","no",4,2.01369476774722,0
17210,"2224","high","high",400,300,"no","Argon-Industries","no",2,2.05453873076373,0
17211,"7055","high","low",550,375,"yes","Argon-Industries","no",5,1.840778419363,0
17212,"7055","high","high",425,375,"no","L27","no",2,2.07998685919549,1
17213,"2324","med","high",575,375,"no","L27","no",2,1.96521287662855,1
17214,"7075-T6","high","high",500,425,"yes","L27","no",2,1.9878070091642,0
17215,"2024-X","high","low",525,425,"no","L27","no",5,1.96499994089185,1
17216,"6061","high","low",475,475,"no","Argon-Industries","no",2,1.94206837964578,1
17217,"2024-T3","high","low",425,300,"yes","Argon-Industries","no",2,1.87334580846692,0
17218,"2224","low","low",575,425,"no","L27","no",4,1.81972416059481,0
17219,"7068","med","high",425,425,"no","MasterAlloys","no",2,2.09303793043607,1
17220,"6063","low","high",550,375,"no","Argon-Industries","no",2,1.75782628626966,1
17221,"2024-T3","high","low",525,450,"no","L27","no",5,1.87600782897756,1
17222,"7055","high","low",550,400,"no","Argon-Industries","no",3,1.90188948703458,0
17223,"2024-T3","low","high",500,500,"yes","L27","no",5,1.87900600191926,1
17224,"7068","high","low",475,425,"no","Argon-Industries","no",2,1.84344617795068,1
17225,"7075-T6","high","med",400,475,"uncertain","Argon-Industries","no",2,1.86521444695514,0
17226,"2024-X","high","low",575,325,"uncertain","L27","no",2,1.88684658875653,1
17227,"2324","med","low",575,450,"no","Argon-Industries","no",2,1.88747499288595,1
17228,"2324","low","low",475,400,"no","MasterAlloys","no",2,1.62883221903448,1
17229,"6061","low","low",575,375,"no","Argon-Industries","no",2,1.747775556253,1
17230,"6063","med","low",425,400,"no","L27","no",4,1.61121134613638,0
17231,"6061","low","low",525,325,"yes","L27","no",2,2.07884345727769,1
17232,"6061","low","low",475,325,"no","Argon-Industries","no",5,2.11547585334559,0
17233,"7075-T6","med","low",525,450,"uncertain","MasterAlloys","no",2,2.08030253609259,0
17234,"2224","low","low",400,300,"no","MasterAlloys","no",4,1.80728505755963,1
17235,"2224","high","med",600,475,"no","L27","no",2,2.01229182301713,1
17236,"7068","med","med",400,375,"no","L27","yes",3,1.76550113505538,1
17237,"7055","low","high",475,325,"yes","L27","no",2,2.08204738679151,1
17238,"6061","high","high",525,375,"no","Argon-Industries","no",4,1.71242515984716,0
17239,"6061","med","high",475,375,"no","Argon-Industries","no",2,1.84719833497774,1
17240,"6061","low","low",450,300,"no","L27","no",5,2.11681475232857,0
17241,"2324","low","high",400,500,"uncertain","Argon-Industries","yes",2,2.00160063536153,0
17242,"7075-T6","high","low",500,450,"no","L27","no",5,2.05342209098642,1
17243,"2024-T3","low","med",575,450,"yes","Argon-Industries","no",2,2.05242554466607,1
17244,"2024-T3","med","med",450,400,"no","Argon-Industries","no",2,1.81430836192703,1
17245,"7475","high","low",425,325,"no","L27","no",2,2.0087426125995,1
17246,"2024-T3","high","high",550,300,"no","L27","no",1,1.99500496232685,1
17247,"7075-T6","low","low",550,400,"no","L27","no",1,1.85685711242128,1
17248,"7055","med","med",575,300,"no","MasterAlloys","no",5,1.99779850186638,0
17249,"2024-X","low","low",400,450,"uncertain","Argon-Industries","no",5,2.25472173758805,0
17250,"7055","high","low",400,500,"yes","L27","no",5,1.86279290883962,0
17251,"7068","high","med",400,425,"no","Argon-Industries","no",2,2.08966472183501,0
17252,"6063","high","low",500,500,"no","L27","no",2,2.0654017469629,0
17253,"2024-T3","high","low",475,375,"no","MasterAlloys","no",2,2.02808144675093,0
17254,"2024-X","med","high",525,325,"yes","L27","no",4,1.78055612211739,1
17255,"5052","med","low",475,325,"no","Argon-Industries","no",2,1.91043513668179,1
17256,"7055","low","low",575,350,"no","MasterAlloys","no",2,2.01555307518471,1
17257,"7475","low","low",450,425,"uncertain","L27","no",2,1.98197202873704,0
17258,"5052","high","low",600,450,"no","Argon-Industries","no",5,1.94342486897435,0
17259,"7475","low","high",600,350,"no","L27","no",2,1.78497409575884,0
17260,"5052","high","high",575,300,"no","Argon-Industries","no",1,1.89575512102055,1
17261,"7068","high","low",500,300,"no","MasterAlloys","no",2,1.91220396113223,1
17262,"2024-X","med","high",575,325,"yes","MasterAlloys","no",5,2.08066377263911,1
17263,"7075-T6","high","low",425,325,"uncertain","L27","no",4,1.89667868041536,0
17264,"2024-X","high","low",400,375,"uncertain","Argon-Industries","no",5,2.22082856131237,0
17265,"6061","low","low",425,450,"no","MasterAlloys","no",5,1.87673612080859,0
17266,"2224","high","low",575,475,"no","Argon-Industries","no",2,1.79005073104474,1
17267,"5052","low","low",550,375,"no","L27","no",4,1.96833734515912,1
17268,"2324","med","med",475,300,"no","Argon-Industries","no",1,2.13652210315091,0
17269,"2324","low","low",550,475,"yes","Argon-Industries","no",5,1.80386297933423,0
17270,"6061","high","low",500,350,"no","Argon-Industries","no",5,2.10503381208612,0
17271,"7068","high","med",475,475,"no","MasterAlloys","no",3,1.97013601029348,0
17272,"6063","high","low",450,425,"yes","L27","no",2,2.02699065986515,0
17273,"2024-T3","high","low",425,350,"uncertain","MasterAlloys","no",2,1.94464328927272,1
17274,"6061","high","med",500,375,"no","Argon-Industries","no",2,2.11611671721526,0
17275,"7075-T6","low","low",575,400,"no","Argon-Industries","no",2,2.26978548096751,1
17276,"2224","med","med",475,475,"no","MasterAlloys","no",2,2.06554824894341,1
17277,"7068","high","med",425,500,"no","Argon-Industries","no",5,1.75980327146766,0
17278,"2224","high","high",575,425,"no","Argon-Industries","no",5,2.03194953717493,0
17279,"7055","high","low",425,475,"uncertain","L27","no",2,1.94295026698947,1
17280,"2024-X","high","low",600,300,"yes","Argon-Industries","no",3,2.05259921590748,0
17281,"7075-T6","high","low",500,300,"no","L27","no",2,1.88290113577557,1
17282,"7055","med","med",400,325,"no","Argon-Industries","no",4,2.21970700856384,0
17283,"2024-T3","med","low",575,500,"no","Argon-Industries","no",3,2.06114236474326,0
17284,"2024-T3","high","med",475,500,"uncertain","Argon-Industries","no",4,1.83780452310393,0
17285,"2224","high","low",600,300,"no","MasterAlloys","yes",5,1.93267824710453,0
17286,"2024-X","high","low",550,300,"yes","Argon-Industries","no",2,1.98257973657595,0
17287,"7075-T6","low","med",575,475,"no","MasterAlloys","no",1,2.01571293407806,1
17288,"6061","high","low",475,325,"no","MasterAlloys","no",2,1.93863501745577,1
17289,"2224","high","high",475,425,"no","Argon-Industries","no",2,2.037920910577,0
17290,"7475","high","low",400,475,"no","L27","no",2,1.7075109822773,0
17291,"7075-T6","med","high",550,475,"no","Argon-Industries","no",1,1.8839956880666,1
17292,"7055","med","low",400,350,"no","Argon-Industries","no",2,2.10331737566289,0
17293,"7475","high","high",475,475,"yes","MasterAlloys","no",2,1.71956219698423,0
17294,"7068","high","med",550,475,"no","MasterAlloys","no",5,2.10154458758301,0
17295,"2324","med","low",525,500,"no","MasterAlloys","no",3,1.8397907357296,1
17296,"7055","high","low",500,500,"no","MasterAlloys","no",5,2.08111238058853,0
17297,"5052","high","high",475,450,"no","Argon-Industries","no",2,2.24192726263207,1
17298,"7068","high","med",575,375,"uncertain","L27","no",2,2.04774400199304,1
17299,"5052","high","med",425,325,"uncertain","L27","no",5,1.49468641182087,0
17300,"7055","high","low",525,400,"no","Argon-Industries","no",2,1.84292191516865,1
17301,"2024-T3","high","low",600,425,"no","L27","no",5,1.95947891433605,1
17302,"7055","med","low",400,300,"no","L27","no",2,1.70447968156354,0
17303,"5052","med","low",450,500,"uncertain","L27","no",2,1.90285581377809,0
17304,"6061","med","high",400,500,"no","Argon-Industries","no",2,2.00552184957612,0
17305,"7075-T6","high","low",450,425,"no","Argon-Industries","no",5,2.01461801500023,0
17306,"6063","low","med",500,325,"no","MasterAlloys","no",1,2.03616958043895,1
17307,"7075-T6","med","low",525,500,"no","Argon-Industries","yes",2,1.96584603188388,0
17308,"7075-T6","med","low",400,325,"no","Argon-Industries","no",2,2.0056952318917,1
17309,"2024-X","med","low",475,300,"no","MasterAlloys","no",5,1.68341461080597,0
17310,"5052","high","low",600,300,"no","L27","no",4,2.12336938352861,0
17311,"2024-T3","med","med",400,500,"yes","L27","no",5,1.97818759270458,1
17312,"7475","high","low",425,425,"no","MasterAlloys","no",2,2.05871226700873,1
17313,"7068","low","med",525,475,"no","L27","no",2,2.16444152662571,1
17314,"7055","high","high",525,325,"no","Argon-Industries","no",5,1.8430433825567,0
17315,"7075-T6","high","low",550,325,"yes","L27","no",1,1.36715462446595,1
17316,"7075-T6","high","med",550,400,"yes","Argon-Industries","no",2,1.83901392744108,1
17317,"2024-X","high","med",600,400,"no","MasterAlloys","no",2,1.73816174513276,1
17318,"6061","high","high",575,375,"no","L27","no",2,2.00488357259169,1
17319,"2024-X","high","med",575,350,"no","Argon-Industries","no",2,2.05031453677526,1
17320,"6063","med","low",400,300,"no","L27","no",5,1.72070764725264,0
17321,"6061","high","high",425,400,"no","L27","no",2,2.15838162907893,0
17322,"7068","high","med",600,400,"no","Argon-Industries","no",2,2.14053851055027,1
17323,"2224","high","low",550,500,"no","Argon-Industries","no",3,1.71411862129915,0
17324,"7075-T6","low","low",600,300,"no","L27","no",5,1.94463944282336,0
17325,"6061","low","high",450,375,"no","Argon-Industries","no",2,2.04884847413711,0
17326,"6063","high","high",575,350,"no","L27","no",5,1.64264094519145,1
17327,"5052","high","high",550,300,"no","Argon-Industries","no",2,1.99745055855208,0
17328,"7055","high","med",525,375,"yes","L27","yes",3,1.83601714491048,1
17329,"7055","high","high",550,300,"no","MasterAlloys","no",2,1.83599245516059,1
17330,"2324","low","low",450,300,"no","Argon-Industries","no",4,1.97409744679189,0
17331,"7055","high","low",575,350,"yes","Argon-Industries","no",5,1.88753124749315,0
17332,"2024-X","low","med",500,300,"no","Argon-Industries","no",2,1.91909730529199,0
17333,"7055","low","high",500,300,"no","MasterAlloys","no",1,2.09031281446716,0
17334,"2224","high","low",425,475,"no","L27","no",4,2.04697293731401,0
17335,"2324","high","med",450,475,"uncertain","Argon-Industries","no",2,1.98238827355971,0
17336,"7075-T6","high","med",425,400,"yes","Argon-Industries","no",2,1.82048744447508,0
17337,"6061","low","low",575,450,"yes","MasterAlloys","no",5,1.82463245373065,0
17338,"7055","high","low",400,300,"uncertain","L27","yes",2,1.846200807025,0
17339,"5052","med","high",400,375,"no","Argon-Industries","yes",2,2.08561929922815,0
17340,"5052","high","med",425,400,"yes","L27","no",2,2.31522717211934,0
17341,"7075-T6","low","high",550,400,"no","MasterAlloys","no",2,2.03625403663471,1
17342,"7475","high","med",425,475,"no","Argon-Industries","no",4,2.06594881386975,0
17343,"7075-T6","high","low",400,475,"no","Argon-Industries","no",5,2.04809462027052,0
17344,"2324","high","med",575,325,"no","Argon-Industries","no",5,2.04255647609469,0
17345,"2224","low","low",400,475,"no","Argon-Industries","no",2,1.98562637251743,0
17346,"7055","med","med",550,375,"no","Argon-Industries","no",2,2.03602429289309,1
17347,"2024-X","high","high",525,475,"no","MasterAlloys","no",2,1.81783307284217,1
17348,"5052","med","med",500,500,"no","Argon-Industries","no",4,1.99094336498902,0
17349,"6063","low","med",500,400,"no","Argon-Industries","no",5,1.88604019497351,0
17350,"7068","med","high",450,325,"no","L27","no",2,1.94397050065294,1
17351,"6061","low","high",500,375,"no","L27","no",5,1.83499175801098,0
17352,"7475","low","low",475,400,"no","Argon-Industries","no",3,1.93744427317551,0
17353,"2024-T3","high","high",425,325,"no","L27","no",5,2.18369912351717,1
17354,"2224","high","high",450,400,"no","Argon-Industries","no",2,2.04322902838327,1
17355,"2024-T3","low","low",500,350,"yes","MasterAlloys","no",5,1.64065710480342,0
17356,"2224","high","med",575,375,"no","Argon-Industries","no",4,1.94036943186343,0
17357,"7075-T6","high","low",500,450,"yes","MasterAlloys","no",5,2.12124352139287,0
17358,"2324","med","med",600,300,"no","MasterAlloys","no",5,1.96880737642123,0
17359,"2024-X","high","high",500,300,"yes","L27","no",1,1.86824867759763,1
17360,"7055","low","high",550,500,"no","Argon-Industries","no",2,2.0754531775786,1
17361,"6061","high","low",500,450,"uncertain","L27","no",5,1.96547987716923,1
17362,"2024-X","high","low",550,325,"no","L27","no",2,1.7169379519696,1
17363,"6063","med","high",525,300,"no","L27","no",3,2.02191892866374,1
17364,"6063","med","high",550,375,"no","Argon-Industries","yes",5,2.311227109569,0
17365,"7075-T6","med","high",550,450,"no","L27","no",1,2.0759798181831,1
17366,"6061","high","high",550,400,"no","Argon-Industries","no",2,1.81407932141694,1
17367,"2324","med","low",575,325,"no","L27","no",5,2.07758629928042,1
17368,"2024-X","high","low",600,325,"yes","Argon-Industries","no",2,2.1190660439076,1
17369,"2024-T3","low","high",475,450,"no","Argon-Industries","no",2,2.01999783828487,0
17370,"6061","high","high",600,500,"no","L27","no",5,1.99563724710317,1
17371,"7068","high","low",525,475,"no","Argon-Industries","no",2,2.12734057507602,1
17372,"7075-T6","med","high",475,450,"yes","MasterAlloys","no",5,1.793785155364,0
17373,"6063","high","low",600,450,"no","L27","no",5,2.11173824650016,1
17374,"6061","med","high",525,325,"no","Argon-Industries","no",2,1.82660540710146,0
17375,"2224","high","med",600,400,"no","Argon-Industries","no",2,1.88574526648875,0
17376,"2024-X","high","high",500,400,"no","L27","no",2,2.0149630395,1
17377,"7068","low","low",425,500,"no","L27","no",2,1.63103604942481,1
17378,"7475","med","low",575,450,"no","Argon-Industries","no",4,2.08391954619003,1
17379,"5052","low","low",550,375,"no","Argon-Industries","no",2,2.00865663219271,1
17380,"5052","low","high",400,475,"yes","MasterAlloys","no",5,1.88650961875468,0
17381,"7068","high","low",425,350,"no","L27","no",2,1.8424308492035,0
17382,"7475","high","low",550,300,"no","Argon-Industries","no",2,1.70243800205236,1
17383,"2024-X","high","med",450,325,"no","Argon-Industries","yes",3,1.90872988480604,0
17384,"2224","med","high",600,475,"no","MasterAlloys","no",2,1.7972375757788,1
17385,"7055","high","low",500,400,"no","L27","no",5,2.08002273023738,1
17386,"6063","high","high",400,450,"no","Argon-Industries","no",2,1.50849522746102,1
17387,"7055","high","low",400,500,"uncertain","Argon-Industries","no",5,2.03005702843022,0
17388,"2224","low","low",400,350,"no","Argon-Industries","no",5,2.14063892662642,0
17389,"7055","high","low",575,500,"no","Argon-Industries","no",2,1.89863589292549,0
17390,"2024-T3","high","high",475,350,"no","MasterAlloys","no",2,1.88272239247823,1
17391,"7055","high","med",450,375,"no","Argon-Industries","no",5,2.13811632058188,0
17392,"2024-X","med","high",575,325,"no","Argon-Industries","no",2,2.10416692847251,1
17393,"5052","high","high",550,500,"no","MasterAlloys","no",2,2.02740717711258,1
17394,"6061","med","high",550,325,"uncertain","MasterAlloys","no",5,2.06650822303448,0
17395,"5052","high","low",550,450,"uncertain","L27","no",4,1.82056345696052,1
17396,"7475","low","high",500,450,"no","Argon-Industries","no",5,1.78058939346637,0
17397,"5052","med","high",525,450,"no","L27","no",2,2.07641990860483,1
17398,"2324","low","med",600,450,"no","Argon-Industries","no",5,1.97975734009779,0
17399,"7055","high","med",400,400,"no","Argon-Industries","no",5,1.78313985251595,0
17400,"7055","high","low",400,400,"no","MasterAlloys","no",2,2.09824372129632,0
17401,"6061","low","low",500,375,"yes","MasterAlloys","no",3,2.08185953233605,1
17402,"6063","low","med",600,450,"no","MasterAlloys","yes",1,2.03698594943801,1
17403,"5052","low","low",450,425,"no","Argon-Industries","no",2,1.83253807164561,0
17404,"5052","med","high",500,300,"yes","Argon-Industries","no",1,2.15681650794749,0
17405,"2024-T3","high","low",550,400,"no","Argon-Industries","no",2,1.85692363054683,1
17406,"2024-T3","high","low",550,475,"yes","L27","no",2,1.98598323400519,1
17407,"2324","high","med",425,425,"no","L27","no",5,1.86003750092263,0
17408,"2324","high","high",600,425,"yes","Argon-Industries","no",5,1.95649223840187,0
17409,"2024-T3","high","low",400,325,"no","L27","no",5,1.92547113683957,1
17410,"7068","med","low",525,475,"uncertain","L27","no",2,2.1683612382505,1
17411,"2024-T3","high","high",550,325,"no","Argon-Industries","no",5,1.7265725183499,0
17412,"2224","low","low",400,300,"no","MasterAlloys","no",2,1.89385077408586,0
17413,"2224","med","low",600,475,"no","L27","no",4,2.16727444764166,0
17414,"7475","low","high",550,325,"no","Argon-Industries","no",3,2.02939963904946,1
17415,"2324","low","med",425,325,"no","MasterAlloys","no",2,2.01922951139876,1
17416,"7475","med","low",400,400,"no","Argon-Industries","no",2,1.8875509387886,0
17417,"5052","med","med",600,500,"yes","Argon-Industries","no",4,2.11101291741582,0
17418,"7055","low","med",550,475,"yes","MasterAlloys","no",5,1.91851674092606,0
17419,"6063","low","high",450,325,"yes","MasterAlloys","no",2,1.85411594301929,1
17420,"6061","high","low",400,425,"uncertain","Argon-Industries","no",5,2.00956274183698,0
17421,"7068","med","low",525,375,"uncertain","Argon-Industries","no",1,1.93028728114793,1
17422,"2224","high","low",425,300,"yes","L27","no",5,1.72699587801198,0
17423,"2224","low","low",450,350,"no","L27","no",5,1.77648949210855,0
17424,"7475","med","high",600,350,"yes","Argon-Industries","yes",3,2.07599409490207,0
17425,"6061","med","low",400,425,"no","Argon-Industries","no",2,1.85468529139232,0
17426,"2024-X","high","low",600,350,"no","Argon-Industries","no",2,1.95991120180094,1
17427,"2024-T3","med","low",525,425,"yes","MasterAlloys","no",5,2.0750907751319,0
17428,"2024-T3","high","med",600,450,"no","L27","no",2,1.95547547477998,1
17429,"2324","high","low",600,375,"no","MasterAlloys","no",5,1.79357931167909,0
17430,"6061","high","med",550,475,"no","Argon-Industries","no",5,1.89102193860561,1
17431,"2224","high","low",550,350,"no","L27","no",2,2.14084108732464,1
17432,"7055","high","low",600,325,"no","Argon-Industries","no",1,1.56810748550412,1
17433,"7475","low","med",400,400,"no","Argon-Industries","no",5,1.98143255085341,0
17434,"7068","low","low",475,475,"no","Argon-Industries","no",4,1.97480245840004,1
17435,"7055","med","low",525,450,"no","L27","no",5,2.09108251306631,1
17436,"7475","med","low",550,475,"uncertain","Argon-Industries","no",5,1.91457195813271,0
17437,"5052","med","low",500,325,"no","MasterAlloys","no",2,2.10352043048964,1
17438,"6061","high","low",600,350,"uncertain","Argon-Industries","no",1,1.74944489290779,1
17439,"7075-T6","high","low",475,400,"yes","L27","no",2,2.19695649090835,1
17440,"7075-T6","med","low",600,500,"yes","Argon-Industries","no",5,1.98237064357942,0
17441,"2024-T3","low","med",425,450,"no","Argon-Industries","no",4,1.84396867975014,0
17442,"2224","high","high",525,450,"yes","Argon-Industries","no",2,1.85947080329618,1
17443,"7055","med","med",525,350,"yes","L27","no",2,1.86328145442883,0
17444,"7475","low","low",425,425,"no","L27","no",2,2.1622769187497,1
